time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,22.1,26.0,20.3,9.7,31.4,58.0,17238.06,45961.65,Bangalore
2023-07-24,21.5,25.6,19.7,12.7,30.0,56.5,11421.34,45934.89,Bangalore
2023-07-25,21.1,23.3,19.8,13.5,25.8,45.7,0.0,45907.47,Bangalore
2023-07-26,20.8,23.2,19.3,19.3,25.6,45.7,1238.42,45879.41,Bangalore
2023-07-27,22.2,27.1,19.6,2.3,28.2,55.1,23263.65,45850.75,Bangalore
2023-07-28,22.8,28.1,18.9,1.5,29.3,51.8,39834.5,45821.53,Bangalore
2023-07-29,22.9,27.7,19.5,1.0,28.2,50.8,42963.68,45791.76,Bangalore
2023-07-30,23.0,27.9,18.5,0.7,26.8,49.0,37007.14,45761.49,Bangalore
2023-07-31,23.4,28.7,19.4,1.3,23.5,45.0,35785.64,45730.75,Bangalore
2023-08-01,23.4,28.2,19.7,0.4,27.2,51.5,34244.7,45699.57,Bangalore
2023-08-02,23.2,27.9,19.4,0.0,29.5,52.6,40964.25,45667.98,Bangalore
2023-08-03,23.4,27.9,19.6,1.0,28.8,50.4,39864.7,45636.0,Bangalore
2023-08-04,23.2,28.6,19.1,1.1,26.7,48.6,40397.3,45603.68,Bangalore
2023-08-05,23.6,28.6,19.3,1.2,23.5,41.8,41097.06,45571.03,Bangalore
2023-08-06,24.0,28.8,19.4,0.3,17.1,34.6,34337.52,45538.07,Bangalore
2023-08-07,23.8,29.0,19.5,0.9,18.5,34.9,35096.81,45504.57,Bangalore
2023-08-08,23.3,28.8,19.1,0.6,17.5,34.2,35327.09,45470.46,Bangalore
2023-08-09,23.8,29.0,19.2,1.1,15.0,31.7,39746.17,45435.75,Bangalore
2023-08-10,23.9,28.7,19.8,0.5,13.7,28.4,39987.97,45400.51,Bangalore
2023-08-11,24.3,28.3,20.2,0.6,15.0,30.6,33156.43,45364.77,Bangalore
2023-08-12,24.6,29.7,20.1,0.3,18.2,36.7,40548.56,45328.54,Bangalore
2023-08-13,24.3,29.3,19.6,0.1,15.8,31.0,42646.68,45291.88,Bangalore
2023-08-14,24.4,29.1,20.5,0.4,15.0,31.0,38973.6,45254.81,Bangalore
2023-08-15,24.1,29.4,19.0,0.5,14.5,30.2,42589.78,45217.38,Bangalore
2023-08-16,24.7,30.8,19.1,0.0,15.5,31.3,42560.28,45179.59,Bangalore
2023-08-17,24.7,30.6,20.0,0.6,20.6,41.8,42530.14,45141.52,Bangalore
2023-08-18,24.3,30.0,19.7,1.1,23.0,43.9,38945.21,45103.16,Bangalore
2023-08-19,22.9,28.9,19.9,7.3,25.2,47.2,35681.52,45064.55,Bangalore
2023-08-20,24.2,30.0,19.3,0.8,19.3,38.2,36111.36,45025.74,Bangalore
2023-08-21,24.6,30.4,19.4,0.0,15.8,31.3,42403.95,44986.75,Bangalore
2023-08-22,24.9,30.7,20.3,0.8,12.1,25.9,40959.52,44947.6,Bangalore
2023-08-23,25.1,30.5,20.4,0.0,11.7,27.0,38738.05,44908.33,Bangalore
2023-08-24,24.8,30.5,20.0,0.0,13.4,29.2,39362.06,44868.96,Bangalore
2023-08-25,24.9,30.9,19.7,0.0,13.9,29.2,40421.46,44829.54,Bangalore
2023-08-26,24.4,30.9,19.9,3.8,16.2,31.0,39600.0,44790.05,Bangalore
2023-08-27,25.0,30.5,20.5,0.1,11.9,27.7,32871.64,44750.26,Bangalore
2023-08-28,25.6,31.3,20.4,0.0,15.2,33.1,41357.37,44710.09,Bangalore
2023-08-29,25.3,31.0,20.8,0.7,16.1,35.3,41485.59,44669.56,Bangalore
2023-08-30,24.8,31.3,19.9,12.5,15.5,33.8,42091.11,44628.71,Bangalore
2023-08-31,23.8,28.7,19.8,8.8,10.4,23.0,35457.48,44587.57,Bangalore
2023-09-01,24.3,30.2,19.9,9.2,13.7,25.6,34152.71,44546.16,Bangalore
2023-09-02,23.4,29.1,20.2,11.8,19.6,33.8,36435.91,44504.53,Bangalore
2023-09-03,23.6,28.2,19.9,0.0,15.8,32.8,27443.36,44462.69,Bangalore
2023-09-04,22.7,26.8,20.2,1.2,26.6,48.6,24810.96,44420.67,Bangalore
2023-09-05,22.1,25.8,19.5,1.5,20.2,37.8,5530.35,44378.52,Bangalore
2023-09-06,23.2,28.1,20.3,1.3,19.9,36.4,24650.67,44336.23,Bangalore
2023-09-07,23.3,28.7,20.3,4.7,19.5,39.6,31004.69,44293.87,Bangalore
2023-09-08,23.3,28.1,20.2,2.1,23.9,46.8,31389.11,44251.44,Bangalore
2023-09-09,23.6,29.0,19.7,1.1,21.7,41.0,35669.6,44208.97,Bangalore
2023-09-10,23.7,28.6,19.4,2.0,23.4,41.4,40366.14,44166.5,Bangalore
2023-09-11,23.3,27.5,19.5,1.6,20.4,38.9,28640.79,44124.04,Bangalore
2023-09-12,23.6,28.8,20.0,2.5,22.5,42.8,38232.83,44081.63,Bangalore
2023-09-13,23.0,28.9,19.1,4.1,21.7,38.9,39600.0,44039.29,Bangalore
2023-09-14,22.9,28.7,19.1,0.6,19.9,38.9,34646.86,43997.05,Bangalore
2023-09-15,23.0,28.7,19.7,3.5,22.3,43.9,29483.39,43954.91,Bangalore
2023-09-16,23.5,28.5,20.0,5.8,25.4,48.2,30304.31,43912.63,Bangalore
2023-09-17,22.4,26.8,19.9,7.5,18.8,41.0,31070.46,43870.11,Bangalore
2023-09-18,22.7,28.8,19.4,4.8,25.8,44.6,30952.47,43827.38,Bangalore
2023-09-19,23.4,28.7,19.7,1.0,17.3,33.8,40353.31,43784.48,Bangalore
2023-09-20,23.3,28.7,19.1,0.3,17.8,33.5,40247.44,43741.42,Bangalore
2023-09-21,23.2,27.0,19.6,0.2,11.7,24.1,14944.5,43698.25,Bangalore
2023-09-22,23.1,28.6,19.5,6.2,16.3,44.6,36710.82,43654.98,Bangalore
2023-09-23,23.6,29.0,19.9,6.5,12.8,27.4,34720.98,43611.65,Bangalore
2023-09-24,23.0,27.0,19.9,7.5,18.4,35.3,27765.56,43568.29,Bangalore
2023-09-25,22.8,26.9,19.5,1.1,19.6,35.3,31451.84,43524.91,Bangalore
2023-09-26,23.3,28.4,19.4,1.8,14.9,29.5,38644.83,43481.55,Bangalore
2023-09-27,23.0,27.9,19.7,11.5,18.4,35.3,38331.64,43438.23,Bangalore
2023-09-28,21.9,27.1,19.0,9.4,19.7,37.1,27803.81,43394.99,Bangalore
2023-09-29,22.4,27.5,19.8,5.7,24.0,45.4,23611.09,43351.85,Bangalore
2023-09-30,22.9,28.1,19.4,2.7,25.7,48.6,39600.0,43308.84,Bangalore
2023-10-01,23.0,27.5,20.2,1.1,26.6,49.0,26670.94,43265.98,Bangalore
2023-10-02,23.5,28.0,19.8,0.3,23.1,43.2,39873.46,43223.3,Bangalore
2023-10-03,23.1,28.1,19.1,0.1,13.6,29.5,39792.75,43180.84,Bangalore
2023-10-04,23.4,28.1,19.0,0.4,10.3,24.1,39794.76,43138.62,Bangalore
2023-10-05,23.5,27.4,19.7,2.2,13.0,21.6,39718.98,43096.64,Bangalore
2023-10-06,24.5,29.5,20.1,1.5,9.7,18.7,37985.9,43054.65,Bangalore
2023-10-07,24.2,29.2,20.0,0.8,11.2,20.9,39600.0,43012.53,Bangalore
2023-10-08,23.8,29.7,20.2,14.4,12.0,23.4,36849.16,42970.32,Bangalore
2023-10-09,22.8,27.8,19.2,19.3,12.2,25.6,30178.77,42928.06,Bangalore
2023-10-10,23.3,28.6,19.4,1.9,9.2,24.1,36335.96,42885.77,Bangalore
2023-10-11,24.0,29.2,19.7,1.0,10.0,23.8,39582.5,42843.5,Bangalore
2023-10-12,24.0,29.9,19.8,0.3,13.7,28.1,39583.0,42801.26,Bangalore
2023-10-13,23.3,29.3,18.4,0.0,14.5,29.5,39640.2,42759.09,Bangalore
2023-10-14,23.7,29.2,18.4,0.0,12.6,28.4,39561.68,42717.03,Bangalore
2023-10-15,24.2,30.7,19.2,0.0,14.4,33.1,36656.75,42675.09,Bangalore
2023-10-16,24.3,29.9,20.8,0.4,19.1,36.4,39545.52,42633.34,Bangalore
2023-10-17,24.5,29.9,20.4,0.3,15.5,28.4,39536.66,42591.77,Bangalore
2023-10-18,24.2,30.3,19.1,0.0,16.7,34.2,39527.24,42550.45,Bangalore
2023-10-19,24.0,30.7,17.5,0.0,16.9,34.2,39517.22,42509.38,Bangalore
2023-10-20,24.6,31.0,18.8,0.0,17.4,35.6,39506.58,42468.62,Bangalore
2023-10-21,25.0,31.4,19.8,0.0,20.0,38.9,39495.28,42428.2,Bangalore
2023-10-22,24.9,31.6,19.0,0.0,13.8,29.5,38433.65,42388.14,Bangalore
2023-10-23,23.9,30.3,18.3,0.0,13.7,30.2,39470.6,42348.5,Bangalore
2023-10-24,23.4,29.8,16.9,0.0,11.5,24.5,39457.15,42309.29,Bangalore
2023-10-25,23.4,29.9,17.1,0.0,14.5,25.2,39442.95,42270.54,Bangalore
2023-10-26,23.7,30.0,16.5,0.0,13.8,25.9,39428.05,42231.95,Bangalore
2023-10-27,24.3,30.7,18.5,0.0,15.4,32.0,37437.04,42193.41,Bangalore
2023-10-28,25.0,30.8,20.2,0.0,15.9,31.3,39396.44,42154.98,Bangalore
2023-10-29,23.4,29.4,20.2,6.1,17.0,36.7,39379.73,42116.66,Bangalore
2023-10-30,23.2,28.7,19.4,4.1,18.5,40.0,34952.08,42078.52,Bangalore
2023-10-31,22.8,28.7,19.5,1.4,16.9,32.8,28815.08,42040.58,Bangalore
2023-11-01,23.5,29.3,18.8,1.3,13.7,28.8,33592.64,42002.89,Bangalore
2023-11-02,23.2,29.5,18.3,0.6,17.8,36.7,35098.76,41965.46,Bangalore
2023-11-03,23.6,29.9,20.6,2.0,17.8,37.4,36609.8,41928.37,Bangalore
2023-11-04,22.6,28.0,19.6,4.8,19.0,34.9,30354.06,41891.62,Bangalore
2023-11-05,22.2,27.8,19.3,22.6,13.1,26.3,25577.83,41855.27,Bangalore
2023-11-06,22.4,27.7,18.9,26.6,9.4,30.2,33460.34,41819.36,Bangalore
2023-11-07,22.0,27.0,18.8,9.2,16.3,28.4,25841.17,41783.92,Bangalore
2023-11-08,22.4,27.4,20.0,13.2,13.6,26.6,35844.44,41749.0,Bangalore
2023-11-09,22.2,27.1,19.6,6.4,17.3,37.4,36568.18,41714.63,Bangalore
2023-11-10,22.8,27.2,19.5,0.9,18.4,33.8,35730.04,41680.88,Bangalore
2023-11-11,21.9,28.0,16.8,0.0,18.5,35.6,39056.06,41647.76,Bangalore
2023-11-12,21.3,27.6,15.8,0.0,21.3,40.7,39019.8,41615.33,Bangalore
2023-11-13,21.4,27.1,15.9,0.0,21.4,40.3,38984.31,41583.63,Bangalore
2023-11-14,20.7,24.1,17.9,0.7,19.1,35.3,1055.7,41552.69,Bangalore
2023-11-15,22.0,27.4,18.2,1.0,15.6,31.3,30868.37,41522.22,Bangalore
2023-11-16,23.2,28.7,18.3,0.0,15.0,30.6,26519.66,41492.12,Bangalore
2023-11-17,23.4,29.7,18.9,0.0,15.7,32.8,37099.51,41462.42,Bangalore
2023-11-18,23.6,29.4,18.9,0.0,16.2,32.4,38815.19,41433.18,Bangalore
2023-11-19,22.7,29.2,17.2,0.0,19.4,37.8,38782.67,41404.4,Bangalore
2023-11-20,22.2,28.7,17.3,0.1,18.9,37.8,36694.79,41376.14,Bangalore
2023-11-21,22.7,28.4,18.9,3.5,19.7,37.4,36785.47,41348.44,Bangalore
2023-11-22,22.9,28.2,19.8,1.7,14.0,34.6,30749.82,41321.32,Bangalore
2023-11-23,22.1,27.1,19.6,5.4,16.7,34.2,28825.83,41294.83,Bangalore
2023-11-24,22.2,27.1,19.4,3.7,18.5,34.9,29131.67,41269.0,Bangalore
2023-11-25,22.4,27.4,19.4,1.5,22.0,41.4,37645.59,41243.88,Bangalore
2023-11-26,22.0,26.7,18.7,0.6,23.8,44.3,34737.61,41219.5,Bangalore
2023-11-27,22.3,26.4,19.4,1.9,19.3,36.7,38545.3,41195.89,Bangalore
2023-11-28,22.6,27.6,19.3,0.7,16.3,31.7,38519.17,41173.1,Bangalore
2023-11-29,22.5,28.2,19.7,0.5,19.8,38.2,34927.93,41151.17,Bangalore
2023-11-30,22.3,27.8,18.4,0.2,19.9,37.1,37545.12,41130.14,Bangalore
2023-12-01,22.1,28.0,19.2,2.9,17.1,32.8,36014.03,41110.04,Bangalore
2023-12-02,21.9,28.2,17.3,1.2,21.6,39.6,37521.52,41090.92,Bangalore
2023-12-03,22.0,26.4,19.6,2.8,25.6,47.5,21050.82,41072.81,Bangalore
2023-12-04,21.5,24.0,19.7,0.0,27.0,48.2,0.0,41055.75,Bangalore
2023-12-05,22.7,28.5,18.4,0.0,18.4,34.9,35999.66,41039.55,Bangalore
