time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,27.4,29.5,25.9,5.2,28.0,54.0,30571.19,47581.26
2023-07-24,27.5,29.9,25.7,28.5,25.7,50.8,33949.95,47536.24
2023-07-25,27.7,29.6,25.4,9.4,23.8,45.4,36996.92,47490.1
2023-07-26,27.3,29.5,25.8,12.8,22.7,41.8,31642.33,47442.89
2023-07-27,27.0,29.8,25.1,25.3,20.0,45.0,19363.86,47394.69
2023-07-28,27.5,29.8,26.0,8.7,23.2,44.3,16357.45,47345.53
2023-07-29,27.7,29.6,26.2,2.0,31.5,57.6,33677.25,47295.46
2023-07-30,27.6,29.2,26.0,2.3,30.7,56.5,40561.54,47244.56
2023-07-31,27.7,30.1,25.5,3.7,28.8,55.1,37575.65,47192.87
2023-08-01,28.1,30.2,26.4,2.5,30.9,58.0,41180.34,47140.43
2023-08-02,27.8,29.8,26.2,4.2,31.6,59.8,36355.44,47087.32
2023-08-03,27.6,29.3,26.4,2.2,31.3,56.9,23451.49,47033.56
2023-08-04,27.5,29.6,26.3,4.0,29.4,54.0,17095.16,46979.22
2023-08-05,27.8,30.1,25.9,2.2,27.2,50.8,40929.32,46924.34
2023-08-06,27.5,29.8,25.6,4.7,29.9,55.8,40336.26,46868.95
2023-08-07,27.5,29.6,26.2,2.9,34.0,62.6,37574.28,46812.64
2023-08-08,27.6,29.8,25.9,1.2,30.1,56.9,41776.51,46755.3
2023-08-09,27.5,29.9,25.5,1.9,27.4,51.8,41923.41,46696.98
2023-08-10,27.4,29.8,25.8,2.6,25.7,48.2,36747.16,46637.76
2023-08-11,27.6,29.9,25.8,3.3,22.5,43.6,41321.26,46577.68
2023-08-12,27.3,29.6,25.3,6.6,24.7,46.1,40281.34,46516.82
2023-08-13,27.5,29.7,25.6,2.3,30.1,56.5,40907.05,46455.22
2023-08-14,27.3,29.0,26.3,2.0,28.0,51.1,10026.9,46392.94
2023-08-15,27.6,29.8,25.8,3.6,25.0,47.2,40874.41,46330.04
2023-08-16,27.6,30.0,25.9,0.6,22.7,43.6,41752.93,46266.57
2023-08-17,27.6,29.9,25.3,1.7,22.1,42.1,42187.94,46202.59
2023-08-18,27.5,30.0,25.3,0.9,20.7,40.0,38415.92,46138.15
2023-08-19,28.0,30.9,26.0,1.5,18.1,34.9,32400.0,46073.3
2023-08-20,27.7,30.3,26.6,3.6,18.1,33.5,25021.34,46008.1
2023-08-21,27.6,30.3,25.7,4.6,18.0,36.0,39733.85,45942.59
2023-08-22,27.9,30.3,26.1,1.8,19.4,37.8,27839.02,45876.83
2023-08-23,27.6,30.0,25.6,1.8,25.7,49.3,36000.0,45810.86
2023-08-24,27.4,29.6,25.5,3.1,27.5,51.8,27263.98,45744.73
2023-08-25,27.7,30.2,25.7,1.9,26.5,50.4,41585.14,45678.5
2023-08-26,27.4,30.0,25.4,2.9,26.8,50.8,39642.48,45612.18
2023-08-27,27.5,30.5,25.2,1.8,22.4,43.6,41439.18,45545.34
2023-08-28,27.6,30.4,25.3,1.0,21.9,42.5,41861.02,45477.85
2023-08-29,27.8,31.1,25.9,1.2,15.8,32.0,41998.91,45409.76
2023-08-30,27.5,30.9,25.5,3.0,12.9,28.1,41293.71,45341.14
2023-08-31,27.9,31.7,25.2,0.5,12.9,28.8,41572.49,45272.02
2023-09-01,28.4,33.0,24.7,0.0,12.2,25.6,42361.08,45202.45
2023-09-02,28.7,33.3,24.7,0.1,14.8,29.9,42346.93,45132.5
2023-09-03,28.9,32.9,26.1,0.0,15.9,30.2,39617.11,45062.19
2023-09-04,28.8,33.0,26.3,0.0,15.6,29.2,35555.46,44991.6
2023-09-05,29.0,33.0,26.1,0.1,15.5,31.3,41839.53,44920.75
2023-09-06,29.5,33.4,27.1,0.0,19.2,36.4,41930.69,44849.7
2023-09-07,28.3,29.9,26.3,10.5,20.0,44.3,34608.12,44778.5
2023-09-08,27.5,28.8,26.5,11.5,19.2,35.3,3981.93,44707.18
2023-09-09,27.7,29.1,26.0,0.9,20.4,35.6,0.0,44635.8
2023-09-10,28.4,30.8,26.7,0.6,20.7,40.0,41287.91,44564.41
2023-09-11,28.5,31.4,26.5,1.4,19.1,34.9,41638.68,44493.03
2023-09-12,28.0,30.4,26.5,0.8,21.4,40.7,41173.36,44421.72
2023-09-13,28.1,30.8,26.2,0.9,18.6,36.4,40845.7,44350.53
2023-09-14,28.1,30.6,26.0,0.5,18.8,36.4,40519.74,44279.49
2023-09-15,28.2,31.0,26.5,0.9,19.1,36.7,34434.09,44208.63
2023-09-16,27.8,29.0,26.8,6.7,24.8,43.2,0.0,44137.5
2023-09-17,26.4,26.9,26.0,21.9,23.5,42.1,0.0,44065.97
2023-09-18,26.2,28.1,24.6,23.6,24.7,47.5,29780.31,43994.09
2023-09-19,26.9,29.3,25.1,12.2,24.8,47.9,35391.33,43921.9
2023-09-20,27.2,29.2,25.5,9.3,19.3,39.6,38143.6,43849.45
2023-09-21,27.3,30.0,25.7,13.0,15.0,30.2,28976.23,43776.78
2023-09-22,27.4,30.0,25.6,9.5,12.4,25.6,24964.13,43703.96
2023-09-23,27.6,30.5,25.4,14.4,13.3,26.6,33811.63,43631.0
2023-09-24,26.7,29.4,24.7,17.7,16.2,30.2,18679.09,43557.98
2023-09-25,26.7,29.3,23.5,10.2,13.4,28.4,38044.19,43484.93
2023-09-26,27.8,30.7,24.8,4.6,11.2,24.5,39219.74,43411.9
2023-09-27,27.2,31.0,25.4,7.3,11.5,28.1,22493.36,43338.94
2023-09-28,28.0,31.9,24.4,6.5,12.6,26.6,29660.12,43266.08
2023-09-29,29.0,33.4,25.2,1.1,12.6,25.6,33943.36,43193.38
2023-09-30,29.5,35.5,25.2,0.0,16.6,32.0,38186.98,43120.88
2023-10-01,29.0,35.0,23.3,0.0,12.0,24.8,36871.89,43048.64
2023-10-02,28.2,32.3,24.2,0.0,12.8,26.3,37780.29,42976.68
2023-10-03,27.7,30.8,25.4,0.0,12.6,28.4,39319.8,42905.07
2023-10-04,28.4,32.6,25.3,0.0,10.5,22.0,39312.23,42833.86
2023-10-05,28.3,33.1,24.8,0.0,9.8,21.6,39186.77,42763.05
2023-10-06,27.7,32.1,24.5,0.0,9.6,23.0,39063.7,42692.18
2023-10-07,27.7,32.7,23.6,0.0,9.4,21.2,38703.67,42621.09
2023-10-08,28.3,34.0,24.0,0.0,8.9,19.1,38713.54,42549.84
2023-10-09,28.8,34.7,23.7,0.0,11.3,24.8,38694.88,42478.49
2023-10-10,28.4,33.2,24.1,0.0,10.8,24.1,38473.17,42407.07
2023-10-11,28.5,34.5,24.0,0.0,8.4,17.6,38134.4,42335.66
