time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,25.3,28.9,23.2,6.2,23.3,45.7,37993.9,48042.45
2023-07-24,26.2,30.3,23.2,0.4,16.7,36.0,41246.84,47992.19
2023-07-25,26.1,30.7,22.6,0.5,19.9,41.4,43754.75,47940.68
2023-07-26,25.6,29.0,23.5,2.9,18.0,40.0,42076.86,47887.99
2023-07-27,25.9,29.5,23.2,2.5,18.4,39.6,41520.9,47834.18
2023-07-28,26.5,31.1,23.7,2.8,13.3,28.1,39506.46,47779.31
2023-07-29,26.0,28.6,23.8,4.0,14.0,29.2,31997.52,47723.44
2023-07-30,25.6,28.6,23.3,5.4,16.6,34.2,19484.55,47666.63
2023-07-31,26.7,30.9,23.1,1.1,15.8,36.7,35647.37,47608.95
2023-08-01,25.7,28.6,23.4,8.8,20.4,41.8,15651.26,47550.43
2023-08-02,24.1,26.6,23.0,44.3,21.0,40.7,12489.72,47491.16
2023-08-03,24.2,27.4,22.1,9.1,23.5,47.2,25393.03,47431.18
2023-08-04,23.8,26.2,21.7,2.3,21.1,42.8,0.0,47370.54
2023-08-05,25.3,29.5,23.1,9.2,19.2,38.2,20145.4,47309.32
2023-08-06,25.3,29.2,23.6,23.5,21.0,42.1,16109.9,47247.52
2023-08-07,24.8,27.7,23.3,14.9,21.2,45.0,14181.74,47184.7
2023-08-08,24.4,26.6,22.9,5.2,17.4,35.3,1325.1,47120.73
2023-08-09,24.9,27.7,22.9,0.7,17.6,38.5,23294.14,47055.68
2023-08-10,25.6,29.8,22.5,6.8,12.9,28.1,41626.68,46989.63
2023-08-11,25.6,29.6,23.1,7.2,12.5,29.5,29021.26,46922.62
2023-08-12,26.2,29.9,23.2,2.8,15.7,34.6,31959.81,46854.73
2023-08-13,25.0,27.6,23.0,9.6,10.0,23.4,330.3,46786.03
2023-08-14,26.0,29.3,23.1,1.8,7.7,18.7,31649.06,46716.57
2023-08-15,25.6,29.3,22.9,2.6,10.8,24.8,21694.75,46646.43
2023-08-16,25.9,30.3,23.1,4.4,15.0,35.3,31422.57,46575.66
2023-08-17,25.4,29.2,23.6,9.7,12.4,31.0,17012.75,46504.31
2023-08-18,25.4,29.7,23.1,8.0,20.3,42.5,36752.9,46432.46
2023-08-19,25.0,28.5,23.0,5.9,21.0,41.8,36431.85,46360.15
2023-08-20,25.7,28.9,23.2,2.4,16.9,36.7,40286.61,46287.45
2023-08-21,26.1,29.7,23.1,2.3,10.6,23.8,36383.58,46214.42
2023-08-22,26.4,30.9,24.0,3.1,12.6,23.4,33907.82,46141.1
2023-08-23,25.4,30.4,22.6,5.6,15.3,31.7,17485.38,46067.55
2023-08-24,25.0,27.7,23.0,1.4,16.6,34.9,11989.99,45993.84
2023-08-25,24.7,28.1,23.0,14.3,14.3,33.1,18054.44,45920.0
2023-08-26,25.6,29.5,22.8,1.2,19.2,43.2,36000.0,45846.06
2023-08-27,26.3,30.3,23.6,0.4,22.7,46.1,41938.35,45771.55
2023-08-28,25.6,29.6,22.2,0.2,17.1,36.4,41906.06,45696.33
2023-08-29,25.6,29.9,22.0,0.5,15.3,33.8,41887.22,45620.44
2023-08-30,26.0,30.5,22.0,0.3,12.2,27.7,40905.98,45543.94
2023-08-31,27.0,31.4,22.7,0.4,8.4,20.2,41543.63,45466.9
2023-09-01,27.7,32.2,23.9,0.7,11.8,26.6,41793.73,45389.36
2023-09-02,26.6,31.9,23.8,13.7,11.7,31.3,41407.9,45311.39
2023-09-03,26.3,31.4,23.9,5.2,13.7,31.3,36810.79,45233.04
2023-09-04,24.3,27.8,22.0,9.3,16.3,39.6,28580.97,45154.36
2023-09-05,24.1,27.0,22.2,5.4,24.4,50.0,23433.62,45075.39
2023-09-06,25.0,28.3,22.8,4.1,22.3,50.8,35688.43,44996.21
2023-09-07,24.2,27.7,22.4,12.8,19.9,44.6,25818.19,44916.85
2023-09-08,24.6,28.3,22.2,13.3,15.6,34.6,29609.89,44837.38
2023-09-09,25.2,28.9,22.7,1.3,15.9,33.8,35496.72,44757.82
2023-09-10,25.8,29.9,22.9,2.3,12.3,27.7,39909.2,44678.25
2023-09-11,26.1,30.3,23.2,5.1,10.8,23.8,40763.6,44598.7
2023-09-12,26.3,30.3,22.9,1.3,11.2,23.8,40099.43,44519.24
2023-09-13,25.6,29.7,22.5,2.3,14.8,33.1,34181.1,44439.89
2023-09-14,24.3,26.4,23.0,21.3,25.6,54.4,26069.4,44360.73
2023-09-15,24.2,27.3,22.8,9.3,21.9,41.8,21706.57,44281.75
2023-09-16,24.7,29.0,22.8,5.7,11.1,24.1,27905.66,44202.48
2023-09-17,25.0,30.3,21.7,3.1,9.8,26.3,37246.36,44122.76
2023-09-18,25.1,29.3,22.0,4.1,10.0,23.0,38585.74,44042.64
2023-09-19,25.0,29.1,22.3,4.6,15.4,33.1,39650.04,43962.19
2023-09-20,24.4,28.0,22.1,9.9,15.1,32.8,31239.52,43881.44
2023-09-21,24.1,27.0,22.2,20.3,10.6,24.5,11381.5,43800.45
2023-09-22,23.8,26.2,22.7,12.8,12.8,27.7,5471.92,43719.28
2023-09-23,23.7,26.9,22.5,15.2,18.1,38.2,8107.23,43637.98
2023-09-24,24.4,29.3,21.9,7.0,13.6,27.0,24236.8,43556.58
2023-09-25,24.4,28.2,21.4,5.0,8.2,19.8,23879.88,43475.16
2023-09-26,24.3,28.7,22.0,13.8,8.7,23.4,15419.79,43393.76
2023-09-27,24.4,30.1,21.6,20.7,7.9,18.0,22728.36,43312.43
2023-09-28,25.0,30.2,21.8,1.4,8.4,20.2,39118.22,43231.21
2023-09-29,26.0,30.6,21.9,0.1,10.1,24.1,39501.38,43150.17
2023-09-30,24.2,28.4,21.5,13.7,16.8,36.4,20535.68,43069.36
2023-10-01,23.1,24.6,22.2,32.3,19.2,38.5,3171.03,42988.82
2023-10-02,23.8,26.6,22.1,12.1,17.6,36.7,27253.51,42908.6
2023-10-03,23.2,26.1,21.9,13.1,17.5,38.2,6864.14,42828.77
2023-10-04,23.4,26.0,22.0,11.8,14.8,30.6,14375.36,42749.36
2023-10-05,24.5,28.3,22.4,1.9,18.1,38.9,37045.62,42670.41
2023-10-06,24.6,28.5,22.2,1.0,16.4,33.5,37477.98,42591.39
2023-10-07,24.7,29.3,21.1,1.1,7.8,20.2,36658.12,42512.13
2023-10-08,25.3,30.3,21.3,0.0,9.4,18.7,38866.84,42432.68
2023-10-09,25.4,30.3,20.8,0.0,17.8,37.8,39013.05,42353.11
2023-10-10,25.7,30.2,21.9,0.0,13.8,29.9,38953.35,42273.48
2023-10-11,25.1,29.9,20.8,0.0,12.8,28.4,38793.64,42193.84
2023-10-12,25.0,30.2,20.4,0.0,11.1,21.2,38734.98,42114.24
2023-10-13,24.9,29.2,20.5,0.0,9.1,21.6,37877.1,42034.76
2023-10-14,24.0,29.6,19.3,0.0,15.0,32.4,38618.14,41955.45
2023-10-15,23.9,29.3,18.8,0.0,15.4,33.1,38338.04,41876.37
